name,latitude,longitude
SKA109,-30.729515,21.4376456
SKA110,-30.734134,21.5105276
SKA111,-30.734251,21.4424172
SKA112,-30.735364,21.1844568
SKA113,-30.736333,21.3917083
SKA114,-30.738661,21.4498209
SKA115,-30.736857,21.4908526
SKA116,-30.742016,21.4602722
SKA117,-30.736715,21.4728481
SKA118,-30.753799,21.3946819
SKA119,-30.776987,21.3936716
SKA120,-30.781482,21.9307624
SKA121,-30.80286,21.4064274
SKA122,-30.808077,21.1403739
SKA123,-30.839095,21.4255118
SKA124,-30.850668,21.8087982
SKA125,-30.865551,21.4607747
SKA126,-30.879119,21.5267438
SKA127,-30.883676,21.6973379
SKA128,-30.890232,21.6024953
SKA129,-30.907047,21.1131812
SKA130,-31.040003,21.078446
SKA131,-31.187658,21.1654996
SKA132,-31.351808,21.2740177
SKA133,-31.524423,21.4678033
